fips,county_name,state_abbr,turbine_class,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
13141,Hancock,GA,large,401,460.0,0.0
32011,Eureka,NV,large,232,255.2,0.0
08123,Weld,CO,large,924,179.4,0.0
08075,Logan,CO,large,591,162.7,0.0
32013,Humboldt,NV,large,39,102.1,0.0
01061,Geneva,AL,large,441,97.4,0.0
06047,Merced,CA,large,591,79.8,0.0
28083,Leflore,MS,large,895,61.0,0.0
48011,Armstrong,TX,large,1391,56.8,0.0
40047,Garfield,OK,large,1757,53.6,53.6
21151,Madison,KY,large,1153,52.6,0.0
53043,Lincoln,WA,large,1068,52.0,0.0
08063,Kit Carson,CO,large,1372,49.0,0.0
17075,Iroquois,IL,large,1350,46.4,0.0
08109,Saguache,CO,large,26,43.7,0.0
49021,Iron,UT,large,1083,39.4,0.0
34033,Salem,NJ,large,12,39.2,0.0
17053,Ford,IL,large,1555,37.4,0.0
34005,Burlington,NJ,large,1001,36.3,0.0
17073,Henry,IL,large,1632,35.1,9.1
28055,Issaquena,MS,large,805,33.7,0.0
42005,Armstrong,PA,large,969,33.2,0.0
36045,Jefferson,NY,large,1467,30.4,0.0
20021,Cherokee,KS,large,1773,29.5,4.5
06071,San Bernardino,CA,large,1019,29.2,0.0
29205,Shelby,MO,large,1535,28.8,0.0
42117,Tioga,PA,large,1685,28.3,28.3
40009,Beckham,OK,large,1357,28.1,0.0
40015,Caddo,OK,large,1819,27.6,27.6
26065,Ingham,MI,large,59,27.1,0.0
17105,Livingston,IL,large,1631,26.9,24.9
28133,Sunflower,MS,large,1099,26.6,0.0
31031,Cherry,NE,large,1834,26.5,9.0
17091,Kankakee,IL,large,1435,26.1,0.0
28029,Copiah,MS,large,684,25.7,0.0
17135,Montgomery,IL,large,1486,25.3,0.0
17021,Christian,IL,large,1359,24.5,0.0
28119,Quitman,MS,large,1013,24.4,0.0
17107,Logan,IL,large,1404,24.3,0.0
21017,Bourbon,KY,large,1086,23.2,0.0
29041,Chariton,MO,large,1251,23.2,0.0
16051,Jefferson,ID,large,840,22.5,0.0
46063,Harding,SD,large,1382,20.9,0.0
17115,Macon,IL,large,1395,20.5,0.0
48229,Hudspeth,TX,large,428,20.5,0.0
22075,Plaquemines,LA,large,580,20.1,0.0
28051,Holmes,MS,large,871,19.0,0.0
31101,Keith,NE,large,1205,18.9,0.0
20157,Republic,KS,large,1538,18.7,6.4
35057,Torrance,NM,large,1404,18.6,14.9
32003,Clark,NV,large,1124,18.3,0.0
29147,Nodaway,MO,large,1684,17.8,2.4
35013,Doña Ana,NM,large,644,17.3,0.0
17027,Clinton,IL,large,1339,17.2,0.0
24041,Talbot,MD,large,1083,16.8,0.0
36017,Chenango,NY,large,1614,16.7,16.7
17093,Kendall,IL,large,1396,16.7,0.0
17113,McLean,IL,large,1696,16.5,16.5
18177,Wayne,IN,large,1342,16.5,0.0
46029,Codington,SD,large,1876,16.5,15.7
39031,Coshocton,OH,large,939,15.6,0.0
27071,Koochiching,MN,large,111,15.5,0.0
