fips,county_name,state_abbr,turbine_class,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
40139,Texas,OK,residential,12053,74.3,74.3
53043,Lincoln,WA,residential,7677,65.0,65.0
35057,Torrance,NM,residential,10789,62.0,0.2
35059,Union,NM,residential,23637,36.6,36.6
26067,Ionia,MI,residential,7031,33.1,33.1
08063,Kit Carson,CO,residential,22264,31.5,31.5
30051,Liberty,MT,residential,18876,30.6,30.6
27069,Kittson,MN,residential,14484,30.0,30.0
48109,Culberson,TX,residential,20538,29.2,29.2
35013,Doña Ana,NM,residential,9566,25.6,25.6
38105,Williams,ND,residential,14398,21.7,21.7
40077,Latimer,OK,residential,2930,20.6,0.0
48421,Sherman,TX,residential,10550,18.1,18.1
36045,Jefferson,NY,residential,12886,18.0,18.0
48229,Hudspeth,TX,residential,12568,15.3,15.3
01101,Montgomery,AL,residential,7492,13.3,13.3
17031,Cook,IL,residential,14706,12.9,12.8
48283,La Salle,TX,residential,12008,12.8,12.8
46099,Minnehaha,SD,residential,16028,12.5,12.5
48105,Crockett,TX,residential,22190,12.4,12.4
46069,Hyde,SD,residential,14362,12.1,12.1
38041,Hettinger,ND,residential,13496,10.5,10.5
06047,Merced,CA,residential,33217,10.4,10.4
38029,Emmons,ND,residential,13665,10.1,10.1
48011,Armstrong,TX,residential,20594,9.8,9.8
36065,Oneida,NY,residential,7661,9.5,3.1
38049,McHenry,ND,residential,11969,9.4,9.4
49003,Box Elder,UT,residential,16139,9.4,9.4
04015,Mohave,AZ,residential,13863,8.8,8.8
27045,Fillmore,MN,residential,21390,8.5,8.5
45029,Colleton,SC,residential,7214,8.4,8.4
13033,Burke,GA,residential,7798,8.1,8.1
27091,Martin,MN,residential,22945,8.0,8.0
37061,Duplin,NC,residential,8912,7.9,7.9
48027,Bell,TX,residential,13364,7.7,7.7
48479,Webb,TX,residential,17093,7.6,7.6
48371,Pecos,TX,residential,18653,7.4,7.4
08023,Costilla,CO,residential,13087,7.3,7.3
55075,Marinette,WI,residential,11381,7.1,7.1
06071,San Bernardino,CA,residential,33484,7.1,7.1
48133,Eastland,TX,residential,22513,7.1,7.1
21047,Christian,KY,residential,9316,7.1,7.1
08021,Conejos,CO,residential,8000,6.9,6.9
06025,Imperial,CA,residential,34218,6.9,6.9
48491,Williamson,TX,residential,23357,6.8,6.8
06029,Kern,CA,residential,56878,6.7,0.5
36075,Oswego,NY,residential,9613,6.5,6.5
29163,Pike,MO,residential,9173,6.5,6.5
21209,Scott,KY,residential,17561,6.4,6.4
26141,Presque Isle,MI,residential,6280,6.3,6.1
36091,Saratoga,NY,residential,8108,6.2,6.2
18177,Wayne,IN,residential,16887,6.1,6.1
31177,Washington,NE,residential,12997,6.0,6.0
42091,Montgomery,PA,residential,11712,6.0,6.0
48489,Willacy,TX,residential,19824,6.0,6.0
